Run Name,General Ed Run,Special Ed Run,Saturday School Run,Activity Run,TransfersShuttles Run
AND01 AM,,Yes,,,
AND01 PM,,Yes,,,
AND02 AM,,Yes,,,
AND02 PM,,Yes,,,
AND03 AM,,Yes,,,
AND03 PM,,Yes,,,
AND04 AM,,Yes,,,
AND04 PM,,Yes,,,
AND05 AM,Yes,,,,
AND05 PM,Yes,,,,
BAM01 AM,Yes,,,,
BAM01 PM,Yes,,,,
BAM02 AM,Yes,,,,
BAM02 PM,Yes,,,,
BAM03 AM,Yes,,,,
BAM03 PM,Yes,,,,
BAM04 AM,Yes,,,,
BAM04 PM,Yes,,,,
BAM05 AM,Yes,,,,
BAM05 PM,Yes,,,,
COO01 AM,Yes,,,,
COO01 PM,Yes,,,,
COO02 AM,Yes,,,,
COO02 PM,Yes,,,,
COO03 AM,Yes,,,,
COO03 PM,Yes,,,,
COO04 AM,Yes,,,,
COO04 PM,Yes,,,,
COO05 AM,Yes,,,,
COO05 PM,Yes,,,,
HER01 AM,Yes,,,,
HER01 PM,Yes,,,,
HER02 AM,Yes,,,,
HER02 PM,Yes,,,,
HER03 AM,Yes,,,,
HER03 PM,Yes,,,,
HER04 AM,Yes,,,,
HER04 PM,Yes,,,,
HER05 AM,Yes,,,,
HER05 PM,Yes,,,,
JEN01 AM,Yes,,,,
JEN01 PM,Yes,,,,
JEN02 AM,Yes,,,,
JEN02 PM,Yes,,,,
JEN03 AM,Yes,,,,
JEN03 PM,Yes,,,,
JEN04 AM,Yes,,,,
JEN04 PM,Yes,,,,
JEN05 AM,Yes,,,,
JEN05 PM,Yes,,,,
LEW01 AM,Yes,,,,
LEW01 PM,Yes,,,,
LEW02 AM,Yes,,,,
LEW02 PM,Yes,,,,
LEW03 AM,Yes,,,,
LEW03 PM,Yes,,,,
LEW04 AM,Yes,,,,
LEW04 PM,Yes,,,,
LEW05 AM,Yes,,,,
LEW05 PM,Yes,,,,
MAR01 AM,Yes,,,,
MAR01 PM,Yes,,,,
MAR02 AM,Yes,,,,
MAR02 PM,Yes,,,,
MAR03 AM,Yes,,,,
MAR03 PM,Yes,,,,
MAR04 AM,Yes,,,,
MAR04 PM,Yes,,,,
MAR05 AM,Yes,,,,
MAR05 PM,Yes,,,,
REY01 AM,Yes,,,,
REY01 PM,Yes,,,,
REY02 AM,Yes,,,,
REY02 PM,Yes,,,,
REY03 AM,Yes,,,,
REY03 PM,Yes,,,,
REY04 AM,Yes,,,,
REY04 PM,Yes,,,,
REY05 AM,Yes,,,,
REY05 PM,Yes,,,,
WES01 AM,Yes,,,,
WES01 PM,Yes,,,,
WES02 AM,Yes,,,,
WES02 PM,Yes,,,,
WES03 AM,Yes,,,,
WES03 PM,Yes,,,,
WES04 AM,Yes,,,,
WES04 PM,Yes,,,,
LAK01 AM,Yes,,,,
LAK01 PM,Yes,,,,
LAK02 AM,Yes,,,,
LAK02 PM,Yes,,,,
LAK03 AM,Yes,,,,
LAK03 PM,Yes,,,,
LAK04 AM,Yes,,,,
LAK04 PM,Yes,,,,
RIV01 AM,Yes,,,,
RIV01 PM,Yes,,,,
RIV02 AM,Yes,,,,
RIV02 PM,Yes,,,,
RIV03 AM,Yes,,,,
RIV03 PM,Yes,,,,
RIV04 AM,Yes,,,,
RIV04 PM,Yes,,,,
MET01 AM,Yes,,,,
MET01 PM,Yes,,,,
MET02 AM,Yes,,,,
MET02 PM,Yes,,,,
MET03 AM,Yes,,,,
MET03 PM,Yes,,,,
NOR01 AM,Yes,,,,
NOR01 PM,Yes,,,,
NOR02 AM,Yes,,,,
NOR02 PM,Yes,,,,
NOR03 AM,Yes,,,,
NOR03 PM,Yes,,,,
